task,category,difficulty,agent,model,effort,passed,duration_seconds,agent_termination,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,prompt_tokens,total_tokens,cost_usd,list_cost_usd,files_changed,insertions,deletions,face_value,points,graders,grader_summaries,run_id
ui-auto-006,interaction,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,537.2,completed,39371,3475,401920,0,441291,52989,0.0149,0.0099,2,37,0,114,114,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportModel.swift: every match of /rows\.remove\(at:\s*index\)/ rewritten; Sources/ReportView.swift: every match of /(Button\(""Delete""[^{}\n]*\.destructive\)\s*\{)[^{}]*(\})/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (13 command(s))",2026-09-16T140110-ui-auto-006-opencode
ui-auto-007,interaction,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,561.9,completed,32427,4441,424832,0,457259,45146,0.0144,0.0099,4,49,1,160,160,build=P;xcuitest=P;mutation=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'NavigationFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/NavigationFixtureApp.swift: ""SettingsView()"" → ""EmptyView()"") | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (13 command(s))",2026-09-16T141012-ui-auto-007-opencode
ui-auto-008,interaction,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,677.1,completed,33477,3723,309888,0,343365,49015,0.0110,0.0081,3,113,8,133,133,build=P;xcuitest=P;mutation=P,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/JobDetailView.swift: every match of /\.accessibilityIdentifier\(""([^""]+)""\)/ rewritten)",2026-09-08T221034-ui-auto-008-opencode
ui-auto-009,interaction,7,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1088.3,completed,102700,7898,1281792,0,1384492,131584,0.0410,0.0289,3,273,1,200,200,build=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'GestureFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/GestureFixtureApp.swift: ""zoomScale = value.magnification"" → ""zoomScale = 1"") | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-16T141939-ui-auto-009-opencode
ui-auto-010,interaction,8,opencode,openrouter/z-ai/glm-5.3-flash,max,false,1785.5,timeout,146624,9942,2198336,0,2344960,191644,0.0663,0.0465,3,73,0,160,,build=P;file=P;xcuitest=F;mutation=F;trajectory=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 0 passed, 1 failed, 0 skipped. Failing: AlertPermissionTests/testSearchKeepsWorkingAfterAllowingThePermissionPrompt() | mutation:The unmutated tests did not pass, so their failure cannot prove that the mutation was detected | trajectory:The agent's recorded commands show the work behind the deliverable (36 command(s))",2026-09-16T143751-ui-auto-010-opencode
ui-auto-011,interaction,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,489.8,completed,39191,3019,283584,0,322775,46390,0.0108,0.0079,2,27,0,100,100,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'RefreshFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/ReportView.swift: every match of /(\.onTapGesture\(count:\s*2\)\s*\{)[^{}]*(\})/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (8 command(s))",2026-09-16T150743-ui-auto-011-opencode
ui-auto-012,interaction,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,934.8,completed,102138,6304,1199424,0,1301562,130549,0.0393,0.0272,3,82,3,160,160,build=P;file=P;xcuitest=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'SearchFixture' | file:1 file assertion(s) satisfied | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/PartsSearchView.swift: every match of /return parts\.filter \{ \$0\.localizedCaseInsensitiveContains\(trimmed\) \}/ rewritten; Sources/PartsSearchView.swift: every match of /(results\s*=\s*)(?:Self|PartsSearchView)\.filter\([^\n]*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (17 command(s))",2026-09-16T151557-ui-auto-012-opencode
ui-auto-014,interaction,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1241.1,completed,91999,3301,404736,0,496735,111101,0.0213,0.0138,3,60,1,114,114,build=P;xcuitest=P;file=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:2 file assertion(s) satisfied | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /(TextField\(\s*""(?:Full name|Site code)""\s*,\s*text:\s*\$([A-Za-z_][A-Za-z0-9_.]*)\s*\))/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (9 command(s))",2026-09-16T153136-ui-auto-014-opencode
ui-auto-015,interaction,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,488.5,completed,25232,2876,300416,0,325648,31459,0.0095,0.0071,2,30,0,114,114,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /(TextField\(\s*""Full name""\s*,\s*text:\s*\$([A-Za-z_][A-Za-z0-9_.]*)\s*\))/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-16T155222-ui-auto-015-opencode
ui-auto-016,interaction,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,541.3,completed,56581,3770,423424,0,480005,71333,0.0171,0.0115,2,42,0,133,133,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /(\.onSubmit\s*\{)[^{}]*\}/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (14 command(s))",2026-09-16T160034-ui-auto-016-opencode
ui-auto-017,interaction,6,opencode,openrouter/z-ai/glm-5.3-flash,max,true,278.5,completed,17754,2507,143808,0,161562,22122,0.0055,0.0041,3,122,0,133,133,trajectory=P;build=P;xcuitest=P;file=P,"trajectory:The agent's recorded commands show the work behind the deliverable (6 command(s)) | build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:2 file assertion(s) satisfied",2026-09-16T160940-ui-auto-017-opencode
ui-auto-018,interaction,8,opencode,openrouter/z-ai/glm-5.3-flash,max,true,556.2,completed,31722,4171,243840,0,275562,43476,0.0108,0.0071,2,61,0,100,100,build=P;xcuitest=P;file=P;mutation=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'FormFlowFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | file:1 file assertion(s) satisfied | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/EnrolmentFlowView.swift: every match of /path\.append\(\s*\.confirmation\s*\)/ rewritten) | trajectory:The agent's recorded commands show the work behind the deliverable (7 command(s))",2026-09-16T161423-ui-auto-018-opencode
ui-auto-019,interaction,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,1029.4,completed,73489,3157,280000,0,353489,79869,0.0136,0.0105,2,33,0,160,160,build=P;xcuitest=P;mutation=P;file=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped | mutation:The tests failed against a deliberately broken app, so they test the behaviour they claim (Sources/SettingsListView.swift: """"Welcome to Loom Settings"""" → """"Farewell from Loom Settings"""") | file:1 file assertion(s) satisfied | trajectory:The agent's recorded commands show the work behind the deliverable (13 command(s))",2026-09-16T162344-ui-auto-019-opencode
visual-001,visual,1,opencode,openrouter/z-ai/glm-5.3-flash,max,true,235.3,completed,14494,1563,143488,0,157982,16513,0.0045,0.0036,1,0,2,100,100,build=P;xcuitest=P;trajectory=P,"build:xcodebuild build succeeded for scheme 'TruncationFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped | trajectory:The agent's recorded commands show the work behind the deliverable (10 command(s))",2026-09-16T164057-visual-001-opencode
visual-003,visual,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,232.5,completed,29069,968,42816,0,71885,31027,0.0033,0.0031,1,17,16,100,100,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'SafeAreaFixture' | xcuitest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-09T004735-visual-003-opencode
visual-004,visual,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,347.5,completed,35495,1658,133696,0,169191,40544,0.0059,0.0051,1,18,8,100,100,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'DynamicTypeFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-09T005144-visual-004-opencode
visual-005,visual,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,274.2,completed,6752,1712,105344,0,112096,10430,0.0030,0.0025,1,31,6,100,100,build=P;xcuitest=P,"build:xcodebuild build succeeded for scheme 'AdaptiveLayoutFixture' | xcuitest:2 executed, 2 passed, 0 failed, 0 skipped",2026-09-09T005736-visual-005-opencode
widget-001,frameworks,3,opencode,openrouter/z-ai/glm-5.3-flash,max,true,71.2,completed,8320,476,29760,0,38080,9005,0.0012,0.0012,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'WidgetTimelineFixture' | xctest:1 executed, 1 passed, 0 failed, 0 skipped",2026-09-09T010217-widget-001-opencode
widget-002,frameworks,5,opencode,openrouter/z-ai/glm-5.3-flash,max,true,107.0,completed,14245,829,124480,0,138725,17370,0.0037,0.0031,1,1,1,133,133,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Widget002Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-09T010330-widget-002-opencode
widget-003,frameworks,4,opencode,openrouter/z-ai/glm-5.3-flash,max,true,67.7,completed,15317,593,38080,0,53397,16136,0.0019,0.0019,1,1,1,100,100,build=P;xctest=P,"build:xcodebuild build succeeded for scheme 'Widget003Fixture' | xctest:3 executed, 3 passed, 0 failed, 0 skipped",2026-09-09T010518-widget-003-opencode
